surface_covered_in_m2,lat,lon,neighborhood
47,-34.6153103,-58.3619834,Puerto Madero
55,-34.5472984,-58.4627046,Nuñez
34,-34.6177615,-58.383662,Monserrat
34,-34.639925,-58.438406,Parque Chacabuco
42,-34.6114952,-58.4423587,Caballito
70,-34.6425648,-58.5016872,Villa Luro
48,-34.62420836,-58.38588463,Barracas
70,-34.5859825,-58.4148132,Palermo
62,-34.589128,-58.391433,Recoleta
47,-34.605643,-58.455291,Villa Crespo
47,-34.60371379,-58.38158089,Floresta
33,-34.5817888,-58.449509,Colegiales
60,-34.6011372,-58.4340934,Parque Centenario
30,-34.5570412,-58.4531098,Belgrano
72,-34.56154103,-58.45852411,Belgrano
50,-34.5978662,-58.415931,Palermo
64,-34.6064,-58.420315,Almagro
33,-34.5945398,-58.4438623,Villa Crespo
34,,,Palermo
47,-34.6010963,-58.437748,Villa Crespo
